iter	Passed	Remaining
416	2814	51188
417	2821	51178
418	2828	51167
419	2833	51146
420	2841	51145
421	2847	51138
422	2854	51134
423	2860	51105
424	2867	51100
425	2873	51095
426	2880	51082
427	2886	51071
428	2892	51055
429	2900	51064
430	2907	51053
431	2913	51044
432	2919	51026
433	2926	51013
434	2933	51007
435	2939	51000
436	2946	50991
437	2953	50987
438	2959	50972
439	2966	50968
440	2973	50968
441	2980	50965
442	2986	50946
443	2992	50934
444	2999	50926
445	3006	50915
446	3012	50902
447	3019	50903
448	3026	50903
449	3033	50900
450	3041	50905
451	3047	50887
452	3054	50884
453	3061	50891
454	3068	50886
455	3076	50889
456	3082	50879
457	3089	50876
458	3095	50863
459	3103	50867
460	3110	50867
461	3117	50858
462	3124	50860
463	3131	50856
464	3138	50851
465	3145	50850
466	3152	50847
467	3159	50850
468	3166	50853
469	3173	50848
470	3180	50838
471	3187	50836
472	3194	50842
473	3201	50833
474	3208	50831
475	3215	50830
476	3223	50836
477	3230	50833
478	3237	50835
479	3244	50833
480	3251	50833
481	3259	50839
482	3267	50850
483	3274	50844
484	3281	50845
485	3289	50855
486	3296	50852
487	3302	50844
488	3310	50846
489	3317	50841
490	3324	50842
491	3332	50847
492	3339	50844
493	3346	50840
494	3352	50835
495	3360	50834
496	3366	50827
497	3373	50812
498	3380	50814
499	3387	50816
500	3394	50812
501	3401	50806
502	3407	50790
503	3415	50791
504	3422	50800
505	3429	50791
506	3436	50786
507	3443	50783
508	3450	50780
509	3457	50777
510	3465	50782
511	3472	50790
512	3480	50791
513	3486	50780
514	3493	50773
515	3500	50766
516	3507	50764
517	3514	50766
518	3520	50750
519	3527	50746
520	3534	50744
521	3542	50745
522	3549	50741
523	3556	50742
524	3563	50739
525	3570	50732
526	3578	50738
527	3585	50737
528	3591	50726
529	3598	50723
530	3605	50717
531	3612	50705
532	3618	50699
533	3625	50693
534	3632	50689
535	3640	50688
536	3647	50692
537	3654	50683
538	3661	50681
539	3668	50678
540	3675	50681
541	3683	50679
542	3689	50671
543	3697	50681
544	3704	50676
545	3711	50667
546	3718	50669
547	3726	50668
548	3733	50665
549	3740	50662
550	3746	50649
551	3753	50647
552	3760	50646
553	3767	50634
554	3774	50627
555	3781	50623
556	3788	50620
557	3795	50620
558	3803	50623
559	3810	50621
560	3817	50618
561	3824	50613
562	3831	50607
563	3838	50603
564	3844	50593
565	3851	50587
566	3857	50574
567	3865	50579
568	3871	50565
569	3878	50553
570	3884	50545
571	3891	50532
572	3897	50519
573	3904	50510
574	3910	50500
575	3917	50493
576	3924	50486
577	3930	50470
578	3936	50459
579	3943	50448
580	3949	50436
581	3956	50426
582	3961	50404
583	3968	50398
584	3975	50394
585	3981	50375
586	3989	50378
587	3995	50370
588	4002	50361
589	4008	50344
590	4015	50335
591	4022	50331
592	4029	50329
593	4036	50322
594	4042	50315
595	4049	50305
596	4055	50293
597	4062	50284
598	4068	50272
599	4075	50267
600	4082	50262
601	4088	50249
602	4095	50237
603	4101	50222
604	4107	50211
605	4114	50201
606	4121	50200
607	4127	50183
608	4132	50159
609	4139	50152
610	4146	50145
611	4154	50147
612	4161	50147
613	4167	50131
614	4174	50123
615	4179	50104
616	4186	50094
617	4193	50087
618	4199	50079
619	4206	50065
620	4212	50052
621	4219	50049
622	4225	50040
623	4232	50032
624	4239	50024
625	4247	50028
626	4253	50017
627	4260	50010
628	4267	50005
629	4274	49999
630	4280	49993
631	4287	49980
632	4293	49972
633	4300	49959
634	4307	49956
635	4313	49943
636	4320	49934
637	4326	49927
638	4333	49920
639	4340	49910
640	4346	49898
641	4352	49884
642	4358	49873
643	4365	49868
644	4372	49861
645	4379	49861
646	4386	49855
647	4393	49845
648	4400	49841
649	4406	49828
650	4413	49817
651	4419	49804
652	4425	49791
653	4431	49778
654	4437	49765
655	4445	49762
656	4451	49752
657	4457	49734
658	4463	49724
659	4470	49714
660	4476	49703
661	4483	49692
662	4489	49682
663	4495	49672
664	4502	49661
665	4508	49653
666	4515	49639
667	4521	49630
668	4528	49623
669	4535	49615
670	4541	49609
671	4548	49598
672	4554	49587
673	4561	49577
674	4567	49566
675	4574	49561
676	4581	49553
677	4587	49542
678	4593	49523
679	4599	49516
680	4606	49512
681	4612	49497
682	4619	49493
683	4626	49483
684	4633	49476
685	4639	49467
686	4647	49466
687	4653	49461
688	4660	49454
689	4666	49438
690	4673	49429
691	4679	49418
692	4685	49408
693	4692	49402
694	4699	49395
695	4705	49384
696	4713	49383
697	4720	49380
698	4727	49377
699	4733	49364
700	4739	49348
701	4746	49343
702	4753	49343
703	4760	49339
704	4767	49328
705	4773	49319
706	4781	49320
707	4787	49311
708	4793	49295
709	4800	49284
710	4806	49272
711	4811	49253
712	4818	49244
713	4824	49233
714	4831	49231
715	4838	49225
716	4844	49213
717	4852	49213
718	4859	49206
719	4866	49210
720	4874	49207
721	4880	49199
722	4886	49187
723	4893	49174
724	4900	49169
725	4906	49160
726	4913	49154
727	4920	49155
728	4928	49154
729	4934	49142
730	4940	49132
731	4947	49123
732	4953	49107
733	4960	49102
734	4967	49097
735	4974	49093
736	4981	49087
737	4987	49078
738	4994	49072
739	5000	49058
740	5007	49050
741	5014	49048
742	5019	49026
743	5026	49021
744	5033	49019
745	5039	49005
746	5046	49000
747	5052	48988
748	5059	48984
749	5066	48978
750	5073	48972
751	5080	48962
752	5086	48955
753	5092	48939
754	5099	48934
755	5106	48928
756	5112	48912
757	5117	48896
758	5124	48891
759	5130	48879
760	5137	48872
761	5144	48865
762	5151	48857
763	5156	48840
764	5163	48836
765	5171	48835
766	5177	48824
767	5183	48812
768	5191	48814
769	5198	48808
770	5205	48805
771	5212	48801
772	5219	48795
773	5226	48792
774	5233	48787
775	5238	48771
776	5245	48765
777	5252	48758
778	5259	48755
779	5266	48750
780	5274	48754
781	5280	48744
782	5286	48729
783	5293	48719
784	5300	48714
785	5307	48710
786	5313	48697
787	5319	48688
788	5326	48676
789	5332	48671
790	5339	48666
791	5346	48658
792	5353	48651
793	5359	48641
794	5366	48631
795	5373	48631
796	5380	48626
797	5386	48612
798	5392	48597
799	5399	48594
800	5406	48590
801	5413	48586
802	5420	48580
803	5427	48573
804	5433	48567
805	5440	48562
806	5447	48557
807	5454	48548
808	5460	48533
809	5466	48522
810	5473	48514
811	5479	48506
812	5486	48501
813	5493	48492
814	5499	48484
815	5505	48470
816	5512	48464
817	5519	48460
818	5526	48452
819	5532	48447
820	5539	48439
821	5546	48430
822	5552	48419
