iter	RMSE
0	0.7584335921
1	0.7379439483
2	0.7185527548
3	0.7015414696
4	0.6864789698
5	0.6718714864
6	0.6590755588
7	0.6465759389
8	0.63604406
9	0.6257107055
10	0.6150247686
11	0.6067768667
12	0.5987195248
13	0.5913267041
14	0.5846559831
15	0.578467254
16	0.5724495022
17	0.5670351397
18	0.5631441593
19	0.5588610678
20	0.5542306966
21	0.5500866577
22	0.546179731
23	0.5426128445
24	0.5396755745
25	0.5368722784
26	0.5341621991
27	0.5317881452
28	0.5296655755
29	0.5265224221
30	0.5241737335
31	0.5217488264
32	0.5194893898
33	0.5177312889
34	0.5159826727
35	0.5142143972
36	0.5123804083
37	0.5105213378
38	0.5091843819
39	0.5072842994
40	0.505878035
41	0.504119626
42	0.5031680521
43	0.5017297042
44	0.5006839417
45	0.4994878493
46	0.4983196207
47	0.4968366533
48	0.4951465682
49	0.4941788286
50	0.4932983058
51	0.491742389
52	0.4905199399
53	0.4894838238
54	0.4887749218
55	0.4876302742
56	0.4864636083
57	0.4854284859
58	0.4847178727
59	0.483791234
60	0.4832287344
61	0.4826378709
62	0.4820091609
63	0.4812515262
64	0.480357938
65	0.4791712399
66	0.4780281798
67	0.4770138809
68	0.4763180523
69	0.475809375
70	0.4751342063
71	0.4746778806
72	0.4739463567
73	0.4732002868
74	0.4721209892
75	0.471627069
76	0.4710317238
77	0.4700598631
78	0.4695687735
79	0.4690365855
80	0.4684849142
81	0.4678306437
82	0.4671441616
83	0.4660648399
84	0.4656854149
85	0.4651755526
86	0.464486884
87	0.4639522214
88	0.4632234532
89	0.4624598398
90	0.4618069672
91	0.4613118774
92	0.4607636626
93	0.460171903
94	0.4595650797
95	0.4588319207
96	0.4585907926
97	0.458313722
98	0.4576662205
99	0.4572821149
100	0.4567893782
101	0.4563426048
102	0.4559811481
103	0.4556882114
104	0.4552485023
105	0.4548126972
106	0.4541432964
107	0.4535420578
108	0.4527951678
109	0.4523901456
110	0.4518766582
111	0.4514300202
112	0.4505024368
113	0.449344334
114	0.4491001287
115	0.4487396282
116	0.4483617537
117	0.4480154818
118	0.4475292989
119	0.4470298662
120	0.4466688257
121	0.4462267112
122	0.4459407789
123	0.4456433322
124	0.4451456092
125	0.4447608479
126	0.4442998244
127	0.443858697
128	0.4432969109
129	0.4426401238
130	0.4420812886
131	0.4417672785
132	0.4414316403
133	0.4410286156
134	0.4404139409
135	0.4400671852
136	0.4397549077
137	0.4393455878
138	0.4390789133
139	0.4387090852
140	0.4383970207
141	0.4380081037
142	0.4375171283
143	0.4369181505
144	0.4366402134
145	0.4361962822
146	0.4356326711
147	0.4352686064
148	0.434721374
149	0.4343787652
150	0.4339491981
151	0.4335366229
152	0.4331582953
153	0.4327220437
154	0.4321846819
155	0.4318561568
156	0.4314935468
157	0.4311056259
158	0.4307240136
159	0.430299391
160	0.4296813492
161	0.4293965199
162	0.4286703443
163	0.4280377781
164	0.4275201768
165	0.4271204393
166	0.4267405165
167	0.426214872
168	0.425834713
169	0.4253528859
170	0.4249963744
171	0.4246566658
172	0.4243456438
173	0.4238861933
174	0.4233361676
175	0.4229751739
176	0.4226467623
177	0.4221614231
178	0.4216897929
179	0.4211582814
180	0.4207904909
181	0.4204176144
182	0.4200257264
183	0.4196978022
184	0.4193764707
185	0.4189256507
186	0.4185154924
187	0.4181133313
188	0.4179003435
189	0.4176278073
190	0.4172469524
191	0.4168911185
192	0.4164981009
